clip_dimension_id,clip_id,dimension_id,dim_suggestion_id
1,4081,166,NULL
2,4082,166,NULL
3,4083,629,NULL
4,4084,686,NULL
5,4085,1538,NULL
6,4071,102,NULL
7,4070,1088,NULL
8,4069,265,NULL
9,4068,102,NULL
10,4067,1088,NULL
11,4066,1275,NULL
12,4065,1489,NULL
13,4064,265,NULL
14,4063,102,NULL
15,4062,265,NULL
16,4061,102,NULL
17,4060,1088,NULL
18,4059,265,NULL
19,4058,102,NULL
20,4057,1088,NULL
21,4056,265,NULL
22,4054,1489,NULL
23,4055,265,NULL
24,4053,102,NULL
25,4051,43,NULL
26,4052,1088,NULL
27,4050,102,NULL
28,4049,1088,NULL
29,4048,89,NULL
30,4047,1489,NULL
31,4046,1088,NULL
32,4045,89,NULL
33,4044,265,NULL
34,4043,1489,NULL
35,4041,1088,NULL
36,4042,102,NULL
37,4040,89,NULL
38,4039,1489,NULL
39,4038,43,NULL
40,4037,89,NULL
41,4036,1489,NULL
42,4035,1088,NULL
43,4034,265,NULL
44,4033,265,NULL
45,4032,89,NULL
46,4031,102,NULL
47,4030,1275,NULL
48,4029,1088,NULL
49,4028,265,NULL
50,4027,1489,NULL
51,4026,43,NULL
52,4025,1088,NULL
53,4024,265,NULL
54,4023,102,NULL
55,4022,89,NULL
56,4021,89,NULL
57,4020,265,NULL
58,4019,265,NULL
59,4016,199,NULL
60,4015,265,NULL
61,4014,16,NULL
62,4013,1520,NULL
63,4012,363,NULL
64,4011,1521,NULL
65,4010,265,NULL
66,4009,2,NULL
67,4008,1522,NULL
68,4007,1523,NULL
69,4006,291,NULL
70,4005,2,NULL
71,4004,1522,NULL
72,4003,265,NULL
73,4002,363,NULL
74,4001,265,NULL
75,4000,265,NULL
76,3999,2,NULL
77,3998,363,NULL
78,3997,265,NULL
79,3996,16,NULL
80,3995,2,NULL
81,3994,2,NULL
82,3993,102,NULL
83,3992,363,NULL
84,3991,199,NULL
85,3990,363,NULL
86,3989,16,NULL
87,3988,657,NULL
88,3987,1517,NULL
89,3986,740,NULL
90,3985,2,NULL
91,3983,363,NULL
92,3984,1525,NULL
