dimension_id,"name",parent_id,type_id
1,"Screen",NULL,1
2,"Size",NULL,1
3,"Camera",NULL,1
4,"Calling",NULL,1
5,"Keyboard",NULL,1
6,"Speed",NULL,1
7,"Voice Recognition",NULL,1
8,"Apps",NULL,1
10,"Battery Life",NULL,1
11,"Internet",NULL,1
12,"GPS",NULL,1
13,"Memory",NULL,1
14,"Simplicity",9,1
15,"Design",17,1
16,"Durability",17,1
17,"Construction",NULL,1
18,"Resolution",1,1
19,"Call Quality",4,1
20,"Media (Apps)",8,1
21,"Tethering",11,1
22,"Wifi",11,1
23,"Touch Screen",1,1
24,"3G",11,1
25,"Size (Screen)",1,1
26,"Internal Memory",13,1
615,"",NULL,1743
29,"4G",11,1
30,"Speakerphone",4,1
31,"Browsing",11,1
32,"Style",17,1
33,"Flash",3,1
34,"Email",NULL,1
35,"Corporate",34,1
36,"Bluetooth",NULL,1
37,"Picture Quality",3,1
38,"Required Data Plan",11,1
39,"Video (Camera)",3,1
40,"Notifications",9,1
41,"Video (Apps)",8,1
42,"Media (General)",9,1
43,"Price",NULL,1
44,"Multitasking",9,1
46,"Speed (Internet)",11,1
47,"Texting",NULL,1
48,"Customization",9,1
95,"Adjustable Length",NULL,2
94,"Sturdiness",NULL,1743
93,"Opening",NULL,1984
1188,"Features",NULL,4072
89,"Quality",NULL,2
88,"Effectiveness",NULL,2
87,"Width",NULL,2
86,"Length",NULL,2
84,"Ease_of_use",NULL,2
83,"Durable",NULL,2
82,"Expandable",NULL,2
1003,"Dimension1",NULL,1743
97,"Ease Of Use",NULL,1743
1001,"Displan",NULL,1743
99,"Height",NULL,1984
102,"Safety",NULL,1984
103,"Coverage",NULL,2
105,"Alternatives",NULL,1984
107,"Adujstability",NULL,1906
108,"Looks",NULL,1906
109,"Dimensions",NULL,2
1004,"Test1",NULL,1743
111,"Thing1",NULL,1234
112,"Description",NULL,1234
115,"Compatability",NULL,1234
119,"Ease To Use",NULL,1530
120,"Content",NULL,1530
121,"Processor",NULL,1530
122,"Mobility",NULL,1530
124,"Free Stuff",NULL,1530
125,"Cloud Storage",NULL,1530
127,"Aesthetics",NULL,1906
