Label	Clip
Screen	Im glad to have this camera it has everything comparable to canon t2  1080p movie 14.2 mp 502g light weight. 3 inch screen . i dont really mind the 230k dots screen its very bright and clear anyways compare to 900+ dots  . 
Screen	Low resolution of LCD screen. It only has 230000 pixels Canon t2i has 1.02 million pixels. 
Screen	If you are comparing this camera to the T3i get this camera
Screen	I went for the T3i over the T2i because of the articulating LCD screen.
Screen	 articulating LCD screen.
Screen	 Low resolution of LCD screen. It only has 230000 pixels Canon t2i has 1.02 million pixels. Sometimes when youre viewing playback you may need to zoom in to check the sharpness of the picture or do it with your computer monitor.
Screen	The articulating screen wasnt necessary yet it IS what made me choose this model over the T2i
Screen	Digital
Screen	Digital
Screen	I especially like the articulated LCD screen on the back of the camera that allows it to be positioned so that otherwise very awkward camera positions ie overhead or low to the ground are easily possible.
Screen	Low resolution of LCD screen. It only has 230000 pixels Canon t2i has 1.02 million pixels.
Screen	If you are comparing this camera to the T3i get this camera
Screen	I went for the T3i over the T2i because of the articulating LCD screen.
Screen	Low resolution of LCD screen. It only has 230000 pixels Canon t2i has 1.02 million pixels. Sometimes when youre viewing playback you may need to zoom in to check the sharpness of the picture or do it with your computer monitor.
Screen	articulating LCD screen.
Screen	Low resolution of LCD screen.
Screen	I went for the T3i over the T2i because of the articulating LCD screen.
Size	The seat is gigantic.  When rear facing it would only fit in one postion in my car. 
Size	It is a big seat especially rear facing
Size	Her car is a Honda Civic so it was a little tricky to get it in
Size	I wouldnt want it as an infant seat . . . too inconvenient.
Size	he seat is gigantic.  When rear facing it would only fit in one postion in my car.
Size	light weight and fits well in the middle seat in my midsize infiniti
Size	We started shopping around and figure that a 17in. wide infant car seat will do
Size	The size is pretty big not really an issue for me but it could be in some of the smaller cars out there
Size	It is bigger than a lot of other car seats out there
Size	I drive a Hyundai Sonata so we have decent room in my car for the seat but weve also put it in a friends four runner and my husbands Elantra and it has fit really well in all cars
Size	 a little big
Size	Yes it is a big car seat
Size	light weight and fits well in the middle seat in my midsize infiniti
Size	Big enough for a toddler
Size	The size is pretty big not really an issue for me but it could be in some of the smaller cars out there although it does fit just fine in my husbands Elantra and that isnt a huge car.
Size	The size is pretty big not really an issue for me but it could be in some of the smaller cars out there although it does fit just fine in my husbands Elantra and that isnt a huge car
Size	it is a big car seat
Size	What I also love about it is the head rest is removable which does not block my view since he is still small. 
Size	great body design. Even with my bigger hands I can handle the camera with comfortability.
Size	The size is pretty big not really an issue for me but it could be in some of the smaller cars out there although it does fit just fine in my husbands Elantra and that isnt a huge car
Size	little small
